"sampleid"	"PHt"	"Hs_obs"	"Hs_exp"	"IR"	"HL"
"1"	"Bel00001"	"0.208315580173271"	"0.950481448446805"	"1.05294045865159"	"-0.0632740817191568"	"0.638855385337572"
"2"	"Bel00013"	"0.220029455081001"	"1.0164799359281"	"1.12255429382469"	"-0.122572123254376"	"0.6164145456227"
"3"	"Bel00016"	"0.215266215266215"	"0.985503760628668"	"1.08900196555384"	"-0.0877715139872716"	"0.629247304508476"
"4"	"Bel00018"	"0.2152719075796"	"1.03126342635855"	"1.13798742900214"	"-0.151948965010303"	"0.604859692715496"
"5"	"Bel00019"	"0.205376191153463"	"0.935614247092929"	"1.03617743290024"	"-0.0404269425976634"	"0.648543184684601"
"6"	"Bel00022"	"0.207629812787001"	"0.944457559646175"	"1.04587843463684"	"-0.0550081363281684"	"0.6427564310979"
"7"	"Bel00035"	"0.205894781322628"	"0.934840900797773"	"1.0362461206969"	"-0.0435152294426267"	"0.648000219800297"
"8"	"Bel00039"	"0.220155325443787"	"1.01477018359415"	"1.12302268217387"	"-0.127572451945995"	"0.610593716066098"
"9"	"Bel00049"	"0.218805704099822"	"1.0081370636582"	"1.11336136700854"	"-0.121432185549557"	"0.61193209679861"
"10"	"Bel00055"	"0.215032317636196"	"0.997133127763709"	"1.10281076389155"	"-0.106828962455087"	"0.621345599315455"
"11"	"Bel00071"	"0.225199452010637"	"1.08055086446999"	"1.19355140305843"	"-0.206505922198121"	"0.576637968064627"
"12"	"Bel00094"	"0.214635716584999"	"0.978601775049417"	"1.08417957961971"	"-0.0809340005977864"	"0.63005358448821"
"13"	"Bel00096"	"0.208207221792074"	"0.948256792973982"	"1.04978598783403"	"-0.057622582748716"	"0.642137654106266"
"14"	"Bel00097"	"0.21869226589386"	"1.00644950390737"	"1.11271198422705"	"-0.115618791230716"	"0.618650359982732"
"15"	"Bel00098"	"0.210677083333333"	"0.982853017008998"	"1.08674040977492"	"-0.0974674565814126"	"0.624246733425128"
"16"	"Bel00100"	"0.213018603144903"	"0.974578295339172"	"1.07853846495321"	"-0.0874244698637437"	"0.625678166130445"
"17"	"Bel00122"	"0.210095400825858"	"0.956542088322222"	"1.05901402666666"	"-0.0597371492599726"	"0.637403878943633"
"18"	"Bel00123"	"0.216183315431436"	"0.993527951084358"	"1.10119634349979"	"-0.102495355196457"	"0.623087098597833"
"19"	"Bel00124"	"0.209868234627373"	"0.958199052784722"	"1.06050351350036"	"-0.0677823808457184"	"0.634225335018534"
"20"	"Bel00125"	"0.217212039431763"	"1.01458980900699"	"1.12138196886895"	"-0.135561898689523"	"0.609163238930005"
"21"	"Bel00126"	"0.209978323442664"	"0.959804532971126"	"1.06338312975518"	"-0.0719399759301656"	"0.636969534561801"
"22"	"Bel00127"	"0.251173875924872"	"1.14588197358739"	"1.26685790411633"	"-0.161906989250473"	"0.611138045938899"
"23"	"Bel00128"	"0.223294747558539"	"1.04636527771912"	"1.15829773456736"	"-0.159874325014049"	"0.598878247676357"
"24"	"Bel00155"	"0.20966656036285"	"0.954661627187678"	"1.05755825525167"	"-0.0597258128696459"	"0.640019297581246"
"25"	"Bel00156"	"0.207861214723063"	"0.946057097811663"	"1.04755085926174"	"-0.0531772989132796"	"0.644109399569858"
"26"	"Bel00158"	"0.218681279065576"	"1.00863689335952"	"1.11615709247403"	"-0.115009506168223"	"0.616063202398496"
"27"	"Bel00164"	"0.208376551378805"	"0.951297372152403"	"1.05142583204645"	"-0.0677858473344864"	"0.639939468127332"
"28"	"Bel00165"	"0.231225218859184"	"1.10100305245659"	"1.21603605079814"	"-0.211371779828107"	"0.575111591417779"
"29"	"Bel00191"	"0.219005059644717"	"1.00249384032053"	"1.10800645841875"	"-0.116841248205901"	"0.614043304703402"
"30"	"Bel00194"	"0.221882879363614"	"1.01225499156695"	"1.12100935154176"	"-0.096358741206127"	"0.625260581503859"
"31"	"Bel00195"	"0.217223559394025"	"0.99215264916065"	"1.09904794925673"	"-0.0941182003224573"	"0.62924970918136"
"32"	"Bel00197"	"0.227947014332874"	"1.08894475655302"	"1.20200425701339"	"-0.198097293350566"	"0.577836128373042"
"33"	"Bel00200"	"0.21303567027008"	"0.967571318992918"	"1.07194903790627"	"-0.0658041657436589"	"0.635510811436178"
"34"	"Bel00202"	"0.21297206744601"	"0.979040819382738"	"1.0829686937199"	"-0.100681334656193"	"0.625335418114869"
"35"	"Bel00203"	"0.216439443121979"	"0.996091868253626"	"1.1034885549102"	"-0.111799076458445"	"0.618758445629675"
"36"	"Bel00205"	"0.244984870559229"	"1.14717482147944"	"1.27234487067479"	"-0.263099872130446"	"0.555155029048597"
"37"	"Bel00207"	"0.221081603808674"	"1.01691669653621"	"1.12607037337199"	"-0.126016717932203"	"0.606059612937847"
"38"	"Bel00237"	"0.206676485027"	"0.939953319202942"	"1.04086570345965"	"-0.0350710897345846"	"0.645193231943093"
"39"	"Bel00238"	"0.219941133186166"	"1.02369442394864"	"1.13221772872437"	"-0.138807843917473"	"0.605926688972604"
"40"	"Bel00239"	"0.216524434579618"	"1.02233368306515"	"1.1273215987297"	"-0.137306797367687"	"0.611169303115738"
"41"	"Bel00240"	"0.212768225095922"	"0.972858953004876"	"1.07626527208099"	"-0.077643714962214"	"0.63372918656118"
"42"	"Bel00241"	"0.207791292085316"	"0.946080311310351"	"1.04724609621832"	"-0.0552064061131184"	"0.640675940219533"
"43"	"Bel00243"	"0.211396734722663"	"0.961722771025953"	"1.06498874539993"	"-0.0633273905723285"	"0.634290735973285"
"44"	"Bel00244"	"0.212696497640254"	"0.97177029172704"	"1.07581311988387"	"-0.0731391032412325"	"0.635459201644203"
"45"	"Bel00246"	"0.217846059537949"	"0.97996647531165"	"1.08363803223717"	"-0.0875761017627685"	"0.622624279313791"
"46"	"Bel00247"	"0.210432375332386"	"0.966636635612669"	"1.06896563359957"	"-0.0815564317746468"	"0.630298102192589"
"47"	"Bel00280"	"0.209860888375042"	"0.969960081891955"	"1.07249306775872"	"-0.0838424545447888"	"0.631774458075458"
"48"	"Bel00281"	"0.204726078202819"	"0.930431065456639"	"1.02934306622085"	"-0.0425624388476176"	"0.64589975153002"
"49"	"Bel00288"	"0.212947189097104"	"0.970854126003267"	"1.07451854554733"	"-0.0737924579356847"	"0.637001283720544"
"50"	"Bel00319"	"0.215478600347021"	"0.991935314976637"	"1.09842238156252"	"-0.0995737981518154"	"0.6261935675473"
"51"	"Bel00322"	"0.215780296425458"	"0.986525058292468"	"1.09125265971806"	"-0.0981284418197131"	"0.62314099427876"
"52"	"Bel00325"	"0.210251644266514"	"0.962276090834203"	"1.06466363823664"	"-0.0660306213555598"	"0.635881371053258"
"53"	"Bel00331"	"0.219352238587235"	"1.015494715338"	"1.12258359256357"	"-0.126403124831958"	"0.611918597886684"
"54"	"Bel00332"	"0.221181209229018"	"1.07179868956153"	"1.17795772971343"	"-0.195301068292754"	"0.582543791511627"
"55"	"Bel00335"	"0.215944106055177"	"0.993041938091571"	"1.09941442229999"	"-0.103246367811272"	"0.623903029169101"
"56"	"Bel00366"	"0.212285583459547"	"0.9649646433008"	"1.07006128385476"	"-0.076513888753235"	"0.632301005343048"
"57"	"Bel00369"	"0.224500605326877"	"1.0645979282823"	"1.17602103261744"	"-0.177576702173335"	"0.593721369074824"
"58"	"Bel00373"	"0.211785572085279"	"0.978050753897046"	"1.08275483057186"	"-0.0936004296112864"	"0.62509866924191"
"59"	"Bel00375"	"0.21007567413934"	"0.957022344039397"	"1.0604352768011"	"-0.060732127272405"	"0.639002172256972"
"60"	"Bel00381"	"0.211688690954224"	"0.976849726797714"	"1.08131448309621"	"-0.0968068989190147"	"0.626916254175939"
"61"	"Bel00383"	"0.216744971369843"	"1.00144849607316"	"1.10757923515097"	"-0.11538491432052"	"0.615734746617387"
"62"	"Bel00384"	"0.211942116197435"	"0.965039261092986"	"1.06778282173089"	"-0.0643575054257224"	"0.63240931936985"
"63"	"Bel00405"	"0.207703421785249"	"0.943572026910659"	"1.04506613688358"	"-0.0503540094206942"	"0.64001233303521"
"64"	"Bel00407"	"0.220399194286761"	"1.01469239732984"	"1.12147234211542"	"-0.116309183910469"	"0.6192278155889"
"65"	"Bel00411"	"0.209737298023548"	"0.956658432320048"	"1.05937761707048"	"-0.066971259781849"	"0.638358939310265"
"66"	"Bel00416"	"0.205486213948241"	"0.935584514001543"	"1.03653566623474"	"-0.0428597063495191"	"0.64404546893383"
"67"	"Bel00418"	"0.254135995918665"	"1.16785851284512"	"1.29087290034948"	"-0.09876211484126"	"0.630106776896204"
"68"	"Bel00459"	"0.216745027124774"	"0.998367063988616"	"1.10501959249917"	"-0.106890770660983"	"0.62370241290213"
"69"	"Bel00461"	"0.208704323669777"	"0.950718554476668"	"1.05225373317184"	"-0.0640061709168427"	"0.637174643371016"
"70"	"Bel00462"	"0.216408844253665"	"1.02477948423399"	"1.13136577814126"	"-0.136742771708444"	"0.609391814638323"
"71"	"Bel00464"	"0.215129770447324"	"0.978029674447082"	"1.08279912206972"	"-0.0771330785112788"	"0.629184943912567"
"72"	"Bel00470"	"0.202423303159452"	"0.921622158767625"	"1.0205236990483"	"-0.0264863048330772"	"0.652597673748394"
"73"	"Bel00510"	"0.220310468761948"	"1.02487109042582"	"1.13080950813171"	"-0.132398123169243"	"0.609236133667718"
"74"	"Bel00513"	"0.235441068064543"	"1.09904551567255"	"1.21270353308176"	"-0.213173949622189"	"0.572743707988466"
"75"	"Bel00534"	"0.229704012633113"	"1.07635323232074"	"1.1893549587165"	"-0.199034168251313"	"0.581910282167378"
"76"	"Bel00574"	"0.206493735662608"	"0.940353340452778"	"1.0413348973957"	"-0.0493958324450797"	"0.643039630334307"
"77"	"Bel00576"	"0.206405566315185"	"0.942162236241466"	"1.04143491843251"	"-0.062103465360982"	"0.636179896865095"
"78"	"Bel00580"	"0.204981949458484"	"0.937656992491319"	"1.03690973747713"	"-0.0587744758314197"	"0.642314841118959"
"79"	"Bel00584"	"0.208537017357421"	"0.950284304003685"	"1.05132968477834"	"-0.0506359119516386"	"0.639440448134625"
"80"	"Bel00586"	"0.220084118063051"	"1.01077722130271"	"1.11840045975307"	"-0.121428502586739"	"0.612893665923482"
"81"	"Bel00588"	"0.216134679131439"	"1.00637095603186"	"1.11089738454232"	"-0.115518899703596"	"0.618198841835838"
"82"	"Bel00589"	"0.217311095214789"	"1.01466802012821"	"1.12202971550929"	"-0.14250482833344"	"0.604395575510459"
"83"	"Bel00593"	"0.213032847879239"	"0.970060361941845"	"1.07394233838938"	"-0.0784028189446037"	"0.630153058146755"
"84"	"Bel00595"	"0.216955468604435"	"1.00989927224841"	"1.11591952960515"	"-0.130356172468408"	"0.611220123604058"
"85"	"Bel00597"	"0.208117321212982"	"0.947029725757411"	"1.04924372679304"	"-0.0545360273421645"	"0.64368139187308"
"86"	"Bel00635"	"0.240496575342466"	"1.13989273193444"	"1.25865345560474"	"-0.259352241081306"	"0.552463724963866"
"87"	"Bel00710"	"0.217235252309879"	"0.987003274518269"	"1.09404511215822"	"-0.0898290779503881"	"0.629215396677465"
"88"	"Bel00711"	"0.209225352112676"	"0.953940686012093"	"1.05656669506582"	"-0.0552468552908807"	"0.63945524043806"
"89"	"Bel00713"	"0.214304024609075"	"0.988584491159421"	"1.09533376177661"	"-0.106860878391943"	"0.619243588792904"
"90"	"Bel00715"	"0.223930968360499"	"1.0097377850371"	"1.11454153609552"	"-0.10617577341059"	"0.613186665392922"
"91"	"Bel00717"	"0.219098521289863"	"1.00115006330554"	"1.10826665307869"	"-0.0828902589993604"	"0.63175736612315"
"92"	"Bel00719"	"0.216219126938541"	"0.987762116728969"	"1.09236770580346"	"-0.0879234535544896"	"0.625686067755139"
"93"	"Bel00739"	"0.210573637834922"	"0.966916957952281"	"1.07044566325451"	"-0.0802475286833108"	"0.630634664606259"
"94"	"Bel00741"	"0.214486994219653"	"0.979047217883733"	"1.08505656470239"	"-0.0914997181141122"	"0.626146417465597"
"95"	"Bel00743"	"0.189048286772373"	"0.8659944173512"	"0.958640487839773"	"0.0232616989714293"	"0.669024548146078"
"96"	"Bel00747"	"0.213652449925207"	"0.98456371192428"	"1.08735119408136"	"-0.0944582137417644"	"0.625650759085185"
"97"	"Bel00749"	"0.221494866161503"	"1.09181127584989"	"1.20037139220708"	"-0.212105949178994"	"0.573851019665605"
"98"	"Bel00751"	"0.21342543393553"	"0.975447104424316"	"1.07940702131107"	"-0.0838246111864059"	"0.629621032913551"
"99"	"Bel00753"	"0.211579751810473"	"0.972642308475915"	"1.07662007326148"	"-0.0958708898271808"	"0.625097303173579"
"100"	"Bel00755"	"0.230633878374319"	"1.09574436889663"	"1.20865274395429"	"-0.209086143330886"	"0.572905749043548"
"101"	"Bel00757"	"0.216214137374048"	"1.01835658310162"	"1.12495490527946"	"-0.132797799936344"	"0.612704130736864"
"102"	"Bel00759"	"0.221259022248679"	"1.02471419295822"	"1.13424910484251"	"-0.14005671400414"	"0.601380634696021"
"103"	"Bel00812"	"0.206844187032067"	"0.940884640208989"	"1.04255088152457"	"-0.0551482418310529"	"0.63917366248633"
"104"	"Bel00816"	"0.262721302661393"	"1.23495778194985"	"1.36356435945635"	"-0.16996100019984"	"0.602039681580551"
"105"	"Bel00818"	"0.208841570894733"	"0.94936618053139"	"1.05079125187959"	"-0.0500693423806346"	"0.642664503291235"
"106"	"Bel00820"	"0.213646572314712"	"0.976716864338535"	"1.08241261800901"	"-0.0806818866120319"	"0.633124038525974"
